sample_id,pair_seed,alpha_1,alpha_2,swapped,source_seed_1,source_seed_2,split
171,108,0.58,0.42,True,11803371,10801443,fit
172,108,0.42,0.66,False,10801480,11804368,fit
173,108,0.66,0.42,True,11804368,10801480,fit
174,108,0.5,0.58,False,10802440,11803408,fit
175,108,0.58,0.5,True,11803408,10802440,fit
176,108,0.5,0.66,False,10802477,11804405,fit
177,108,0.66,0.5,True,11804405,10802477,fit
178,108,0.58,0.66,False,10803474,11804442,fit
179,108,0.66,0.58,True,11804442,10803474,fit
180,109,0.34,0.42,False,10900375,11901343,fit
181,109,0.42,0.34,True,11901343,10900375,fit
182,109,0.34,0.5,False,10900412,11902340,fit
183,109,0.5,0.34,True,11902340,10900412,fit
184,109,0.34,0.58,False,10900449,11903337,fit
185,109,0.58,0.34,True,11903337,10900449,fit
186,109,0.34,0.66,False,10900486,11904334,fit
187,109,0.66,0.34,True,11904334,10900486,fit
188,109,0.42,0.5,False,10901409,11902377,fit
189,109,0.5,0.42,True,11902377,10901409,fit
190,109,0.42,0.58,False,10901446,11903374,fit
191,109,0.58,0.42,True,11903374,10901446,fit
192,109,0.42,0.66,False,10901483,11904371,fit
193,109,0.66,0.42,True,11904371,10901483,fit
194,109,0.5,0.58,False,10902443,11903411,fit
195,109,0.58,0.5,True,11903411,10902443,fit
196,109,0.5,0.66,False,10902480,11904408,fit
197,109,0.66,0.5,True,11904408,10902480,fit
198,109,0.58,0.66,False,10903477,11904445,fit
199,109,0.66,0.58,True,11904445,10903477,fit
200,110,0.34,0.42,False,11000378,12001346,fit
201,110,0.42,0.34,True,12001346,11000378,fit
202,110,0.34,0.5,False,11000415,12002343,fit
203,110,0.5,0.34,True,12002343,11000415,fit
204,110,0.34,0.58,False,11000452,12003340,fit
205,110,0.58,0.34,True,12003340,11000452,fit
206,110,0.34,0.66,False,11000489,12004337,fit
207,110,0.66,0.34,True,12004337,11000489,fit
208,110,0.42,0.5,False,11001412,12002380,fit
209,110,0.5,0.42,True,12002380,11001412,fit
210,110,0.42,0.58,False,11001449,12003377,fit
211,110,0.58,0.42,True,12003377,11001449,fit
212,110,0.42,0.66,False,11001486,12004374,fit
213,110,0.66,0.42,True,12004374,11001486,fit
214,110,0.5,0.58,False,11002446,12003414,fit
215,110,0.58,0.5,True,12003414,11002446,fit
216,110,0.5,0.66,False,11002483,12004411,fit
217,110,0.66,0.5,True,12004411,11002483,fit
218,110,0.58,0.66,False,11003480,12004448,fit
219,110,0.66,0.58,True,12004448,11003480,fit
220,111,0.34,0.42,False,11100381,12101349,fit
221,111,0.42,0.34,True,12101349,11100381,fit
222,111,0.34,0.5,False,11100418,12102346,fit
223,111,0.5,0.34,True,12102346,11100418,fit
224,111,0.34,0.58,False,11100455,12103343,fit
225,111,0.58,0.34,True,12103343,11100455,fit
226,111,0.34,0.66,False,11100492,12104340,fit
227,111,0.66,0.34,True,12104340,11100492,fit
228,111,0.42,0.5,False,11101415,12102383,fit
229,111,0.5,0.42,True,12102383,11101415,fit
230,111,0.42,0.58,False,11101452,12103380,fit
231,111,0.58,0.42,True,12103380,11101452,fit
232,111,0.42,0.66,False,11101489,12104377,fit
233,111,0.66,0.42,True,12104377,11101489,fit
234,111,0.5,0.58,False,11102449,12103417,fit
235,111,0.58,0.5,True,12103417,11102449,fit
236,111,0.5,0.66,False,11102486,12104414,fit
237,111,0.66,0.5,True,12104414,11102486,fit
238,111,0.58,0.66,False,11103483,12104451,fit
239,111,0.66,0.58,True,12104451,11103483,fit
240,112,0.34,0.42,False,11200384,12201352,fit
241,112,0.42,0.34,True,12201352,11200384,fit
242,112,0.34,0.5,False,11200421,12202349,fit
243,112,0.5,0.34,True,12202349,11200421,fit
244,112,0.34,0.58,False,11200458,12203346,fit
245,112,0.58,0.34,True,12203346,11200458,fit
246,112,0.34,0.66,False,11200495,12204343,fit
247,112,0.66,0.34,True,12204343,11200495,fit
248,112,0.42,0.5,False,11201418,12202386,fit
249,112,0.5,0.42,True,12202386,11201418,fit
250,112,0.42,0.58,False,11201455,12203383,fit
251,112,0.58,0.42,True,12203383,11201455,fit
252,112,0.42,0.66,False,11201492,12204380,fit
253,112,0.66,0.42,True,12204380,11201492,fit
254,112,0.5,0.58,False,11202452,12203420,fit
255,112,0.58,0.5,True,12203420,11202452,fit
256,112,0.5,0.66,False,11202489,12204417,fit
257,112,0.66,0.5,True,12204417,11202489,fit
258,112,0.58,0.66,False,11203486,12204454,fit
259,112,0.66,0.58,True,12204454,11203486,fit
260,113,0.34,0.42,False,11300387,12301355,fit
261,113,0.42,0.34,True,12301355,11300387,fit
262,113,0.34,0.5,False,11300424,12302352,fit
263,113,0.5,0.34,True,12302352,11300424,fit
264,113,0.34,0.58,False,11300461,12303349,fit
265,113,0.58,0.34,True,12303349,11300461,fit
266,113,0.34,0.66,False,11300498,12304346,fit
267,113,0.66,0.34,True,12304346,11300498,fit
268,113,0.42,0.5,False,11301421,12302389,fit
269,113,0.5,0.42,True,12302389,11301421,fit
270,113,0.42,0.58,False,11301458,12303386,fit
271,113,0.58,0.42,True,12303386,11301458,fit
272,113,0.42,0.66,False,11301495,12304383,fit
273,113,0.66,0.42,True,12304383,11301495,fit
274,113,0.5,0.58,False,11302455,12303423,fit
275,113,0.58,0.5,True,12303423,11302455,fit
276,113,0.5,0.66,False,11302492,12304420,fit
277,113,0.66,0.5,True,12304420,11302492,fit
278,113,0.58,0.66,False,11303489,12304457,fit
279,113,0.66,0.58,True,12304457,11303489,fit
280,114,0.34,0.42,False,11400390,12401358,fit
281,114,0.42,0.34,True,12401358,11400390,fit
282,114,0.34,0.5,False,11400427,12402355,fit
283,114,0.5,0.34,True,12402355,11400427,fit
284,114,0.34,0.58,False,11400464,12403352,fit
285,114,0.58,0.34,True,12403352,11400464,fit
286,114,0.34,0.66,False,11400501,12404349,fit
287,114,0.66,0.34,True,12404349,11400501,fit
288,114,0.42,0.5,False,11401424,12402392,fit
289,114,0.5,0.42,True,12402392,11401424,fit
290,114,0.42,0.58,False,11401461,12403389,fit
291,114,0.58,0.42,True,12403389,11401461,fit
292,114,0.42,0.66,False,11401498,12404386,fit
293,114,0.66,0.42,True,12404386,11401498,fit
294,114,0.5,0.58,False,11402458,12403426,fit
295,114,0.58,0.5,True,12403426,11402458,fit
296,114,0.5,0.66,False,11402495,12404423,fit
297,114,0.66,0.5,True,12404423,11402495,fit
298,114,0.58,0.66,False,11403492,12404460,fit
299,114,0.66,0.58,True,12404460,11403492,fit
300,115,0.34,0.42,False,11500393,12501361,fit
301,115,0.42,0.34,True,12501361,11500393,fit
302,115,0.34,0.5,False,11500430,12502358,fit
303,115,0.5,0.34,True,12502358,11500430,fit
304,115,0.34,0.58,False,11500467,12503355,fit
305,115,0.58,0.34,True,12503355,11500467,fit
306,115,0.34,0.66,False,11500504,12504352,fit
307,115,0.66,0.34,True,12504352,11500504,fit
308,115,0.42,0.5,False,11501427,12502395,fit
309,115,0.5,0.42,True,12502395,11501427,fit
310,115,0.42,0.58,False,11501464,12503392,fit
311,115,0.58,0.42,True,12503392,11501464,fit
312,115,0.42,0.66,False,11501501,12504389,fit
313,115,0.66,0.42,True,12504389,11501501,fit
314,115,0.5,0.58,False,11502461,12503429,fit
315,115,0.58,0.5,True,12503429,11502461,fit
316,115,0.5,0.66,False,11502498,12504426,fit
317,115,0.66,0.5,True,12504426,11502498,fit
318,115,0.58,0.66,False,11503495,12504463,fit
319,115,0.66,0.58,True,12504463,11503495,fit
