kind,amplitude,f0,f1,phase,sample_id,phase2,ratio,split
mixture,0.9353242223082618,3.6674678274288772,7.752296490420948,-2.0432338580560003,35,1.672681262849311,0.5421049168815915,train
sine,0.9554001097444975,2.849670589533403,2.849670589533403,-1.00781261707426,36,,,test
chirp,0.8645241987458447,1.3843160834094113,7.005593031147945,-3.0978016399049637,37,,,train
mixture,0.6446339416008116,1.0989495155985862,6.6650919757697995,-1.6371815031419785,38,0.9545205465525237,0.7499806837051226,train
sine,0.9317263583492443,5.324534520282304,5.324534520282304,-1.0264066946067545,39,,,train
chirp,0.7928420445635667,1.9477067723752353,4.1355469087123495,2.43021381224031,40,,,train
mixture,0.8207425854034501,2.54802345982727,4.9786819466525065,-0.5173313250674556,41,0.7364429440612525,0.5735886101715053,train
sine,0.9338729807689308,3.9639745600666396,3.9639745600666396,-0.6476006290280991,42,,,train
chirp,0.9022162186913754,1.4381062528384752,5.153022327703679,-2.3829346492304655,43,,,train
mixture,0.5001544102063251,2.9260279199789747,7.792464809945786,-0.09747492152313741,44,-0.7626723184246105,0.7269089833833307,validation
sine,0.9807589044375434,3.332093473121673,3.332093473121673,-1.914780405451111,45,,,train
chirp,0.8441797221054264,1.7646378760210948,7.118001776970148,-0.028859450190151126,46,,,train
mixture,0.75535436715065,1.1979752203744063,7.4498846296250605,-2.9152595900877785,47,-1.2299926594156816,0.6899308998586415,test
sine,0.8356067107451663,5.860180809049945,5.860180809049945,-1.2384791903478376,48,,,train
chirp,0.5337346476671574,1.6647272397459545,5.187010359388836,1.8970354183802511,49,,,train
mixture,0.6558940050367983,2.736608217158391,7.813683162551371,3.0195678240140182,50,0.613016125232611,0.37283972010406735,validation
sine,0.9225651041253082,3.3374032411909966,3.3374032411909966,-2.8246749996524074,51,,,train
chirp,0.8511603583715835,0.8974208524670282,4.265186112801715,-1.2282949639587046,52,,,validation
mixture,0.6652578593545312,1.263934224591059,7.890349554072929,-3.0015166180299975,53,0.7143453518614677,0.727250609268524,train
sine,0.9472678746685614,4.34849304878572,4.34849304878572,1.5900879984311551,54,,,validation
chirp,0.7847861894539563,1.368230043106494,4.2662297064688675,2.829713843818472,55,,,train
mixture,0.6789635667945122,2.6031615251814393,6.6515499243453515,3.102823154513074,56,2.38371277994419,0.3853706697623066,train
sine,0.9588833066551468,6.6602932829558235,6.6602932829558235,0.6951257366633574,57,,,train
chirp,0.7190640896001097,0.6901392289548556,7.320622717617585,1.7991789091862476,58,,,test
mixture,0.8765935353578824,2.30303446449115,7.023463182211444,-2.0285234554485148,59,1.1033495397689919,0.4132490998037252,train
sine,0.518500001689886,2.4695633171125744,2.4695633171125744,2.1945415051477566,60,,,validation
chirp,0.7589218389995727,1.3948374523989904,4.983873705392011,0.1408355893078279,61,,,train
mixture,0.63593040078472,1.4661348692739142,7.3738675013087835,0.24898908600136593,62,1.4320986345867395,0.6113658939519591,train
sine,0.7161375710973554,3.9364471208903176,3.9364471208903176,2.2863392052374065,63,,,train
chirp,0.7032970925130104,1.1934326204452377,4.588362726883559,1.3353201598127376,64,,,train
mixture,0.6827032301084698,1.083147769555702,4.962779292634853,-0.9678405137056743,65,0.9417539063840197,0.26913279463162404,train
sine,0.6365883734240882,6.172183627805728,6.172183627805728,-0.7280432780086405,66,,,train
chirp,0.7731882980824547,1.106176428759284,6.800899142329683,-1.5861600848667408,67,,,test
mixture,0.7940378148399878,1.523792804446185,6.151302136188397,-2.487386634050201,68,2.12889182114686,0.6945318155533557,train
sine,0.8926411735407257,4.059687530645509,4.059687530645509,1.3976873177499334,69,,,test
chirp,0.9041724053618886,1.1601492553599313,5.681006560491552,-2.4475586518539734,70,,,train
mixture,0.8751081309435877,1.8050427792839852,5.718305328861793,2.6558955287845,71,1.474915030451192,0.28490039322266375,train
sine,0.7312122526315556,6.620408297871106,6.620408297871106,1.0061329602934501,72,,,train
chirp,0.5365067177413094,0.9419361879140407,4.439509296724387,-1.6111791677416683,73,,,validation
mixture,0.6337106578268485,2.578102312673007,5.211356534274526,1.4064897913681325,74,-0.8485558173559933,0.32277703805789154,test
sine,0.9037883548213883,5.857265356726422,5.857265356726422,-1.270739137113314,75,,,train
chirp,0.9300400957875521,2.434064790228676,7.1489300035558685,-0.033329611612266774,76,,,test
mixture,0.7372924366952528,2.466330100199564,5.26743824767269,0.09898550360235836,77,-1.3530878208997703,0.27528005270097083,validation
sine,0.628237212595741,6.723918008022207,6.723918008022207,2.27068629009121,78,,,train
chirp,0.7424356278389346,1.370669243597929,4.343693118395848,2.1432735331992783,79,,,train
mixture,0.9277832196810252,1.3602049831294287,6.191282729916662,-2.8132526817818064,80,2.7542054798191318,0.6872445585756468,train
sine,0.6169354310031014,1.9428277131896992,1.9428277131896992,-2.363068032504115,81,,,validation
chirp,0.8096288275308514,2.282139912550217,6.757671512811871,1.0089376900010771,82,,,train
mixture,0.91045432134507,3.331961123523805,6.166832093902155,1.8202037521464822,83,0.09786474320296801,0.5976924166199564,train
sine,0.532317801671734,1.785686524926501,1.785686524926501,0.26875254225789336,84,,,train
chirp,0.9025329152159485,1.908269301624827,5.396800154599594,2.914744280001468,85,,,train
mixture,0.7665363037663512,1.08960304383011,5.182197591924374,0.9402328741306318,86,-0.37939211183746435,0.643531632860481,train
sine,0.984246609617463,6.57589777001527,6.57589777001527,2.5365585022777832,87,,,train
chirp,0.7644767606523111,1.2508919867068715,5.657521747552959,-2.576565805441078,88,,,train
mixture,0.7053295295780933,1.659182668180612,6.763973935608751,-1.4113634245205984,89,1.770358001670158,0.35709850877093413,test
sine,0.9438600306505549,1.7618220114955976,1.7618220114955976,-2.0210838696349898,90,,,train
chirp,0.8342190717453186,1.5273301401461121,6.858322380996637,2.479873517362962,91,,,test
mixture,0.860449128258823,1.2823116841648297,6.1395310271875125,2.182857441531083,92,-1.8188223003999378,0.7185159138347346,train
sine,0.51962694544887,2.6883764761225706,2.6883764761225706,1.6965526666508355,93,,,train
chirp,0.9140299700407731,1.96554644456588,6.570667952701875,-0.33182546393972423,94,,,train
mixture,0.5372737518113814,2.174839250191037,4.925169784536573,0.18362827035826568,95,2.241661867341594,0.6066593407239931,test
sine,0.8763929925208452,6.551465144088583,6.551465144088583,-2.7647149414788803,96,,,train
chirp,0.9824995248505136,1.1967559135162837,6.871190700390709,2.0030972542562715,97,,,train
mixture,0.8807659181826543,2.755028405203092,4.875727230130564,-2.831337499894654,98,1.5153807137911617,0.7418747131658396,validation
sine,0.6473142684351612,5.341193727118908,5.341193727118908,3.0549759147104076,99,,,validation
chirp,0.7955983828009252,1.085195997913877,6.505842874026035,-1.8177983617245073,100,,,validation
mixture,0.6863514665381287,3.800113666160244,6.281130700362528,-0.08970184702786232,101,2.1061196121907297,0.35260705323930036,test
sine,0.614550135562751,4.6326060974731496,4.6326060974731496,-2.224909093957944,102,,,train
chirp,0.7913062879962125,1.0374011101433334,6.3665104130482835,2.5467081457046934,103,,,train
mixture,0.5043267733541964,3.117970522024581,7.465114246908789,-0.9752719749844063,104,0.6137182491669901,0.49203262932703323,train
sine,0.9093689462270347,6.2781530316577285,6.2781530316577285,-0.9289789585440373,105,,,train
chirp,0.8934046123052821,0.9857816872281078,5.313692289009522,-1.6330579490683261,106,,,test
mixture,0.5990437124034589,3.655844176996875,7.239610242294502,-2.604870874793073,107,1.4219642395748657,0.5594319867329705,train
sine,0.5481352172389984,6.403521210000568,6.403521210000568,-2.4856974728549974,108,,,train
chirp,0.8395569602740091,1.1244180994683612,4.838283092593599,-1.4377108701176708,109,,,train
mixture,0.6971582039197699,3.9902230689297773,5.218516661310737,-2.4565692960231487,110,-2.772116244297076,0.28814372785148534,train
sine,0.9945885935162384,2.4634818370285565,2.4634818370285565,2.7915236397473295,111,,,train
chirp,0.6676639644907494,1.8108548395338986,6.972904552244846,-2.763378282377479,112,,,validation
mixture,0.6662135206063671,1.5392816221725314,7.802901808109561,2.1732273251593988,113,1.2034644059536417,0.46821098641324715,train
sine,0.7589912133699688,4.457082959036314,4.457082959036314,-2.7164021459287597,114,,,train
chirp,0.8902275808278797,0.829503872872152,5.043401442531868,-2.1649865391018066,115,,,train
mixture,0.8974460514318299,3.5340906381022146,7.616016328810067,0.9302967656693122,116,-2.0202202573951733,0.47645895905829966,validation
sine,0.5881096737806332,3.0614838002899063,3.0614838002899063,0.47849165762135737,117,,,train
chirp,0.9656540054578063,0.7657389170422024,6.915422700196035,-1.0489559687146772,118,,,test
mixture,0.5971387975515878,3.0263299278434017,5.5336017880059645,-2.348444153056178,119,1.6585866871697013,0.3210923334640026,test
sine,0.9707374465326746,5.2159728632863,5.2159728632863,-3.0140484665953187,120,,,train
chirp,0.8421804237137119,2.318308030919142,7.867962630054022,2.629034930425803,121,,,train
mixture,0.6775790877910037,3.350493427011528,5.192715797484298,-2.5308794842932665,122,0.889760973830982,0.4429034296032762,train
sine,0.6353232841214558,6.21116774556685,6.21116774556685,-2.4742298992660916,123,,,train
chirp,0.7844348404320454,1.8236598334673433,6.133388209693271,-2.907119164543318,124,,,train
mixture,0.873027056401275,1.4847348018494262,5.929458552855227,-0.14812516215208849,125,2.1459166649491968,0.6343899786278568,train
sine,0.6231988923477367,4.625155443353613,4.625155443353613,-2.346749276035799,126,,,train
chirp,0.8957959373521078,2.2755166017533193,5.589548951628826,-0.10808755494825562,127,,,train
mixture,0.5262322426243788,3.874858524597562,7.613058959393256,2.1219455563643166,128,0.43408482907752743,0.5927070291040624,validation
sine,0.8029010204375624,5.935283900893533,5.935283900893533,0.22936102857761043,129,,,test
chirp,0.9635623306429439,0.7515130126394591,5.904665141105601,-2.9659012631032438,130,,,train
mixture,0.871468356596728,1.7535145917746182,7.0539291083413325,-1.4311267660610356,131,-2.069792608008428,0.6147989333822209,train
sine,0.870381378597743,6.967115981738443,6.967115981738443,2.5677495533108763,132,,,validation
chirp,0.6514616269858899,1.755237340008191,7.462158846704427,2.385572982822553,133,,,train
mixture,0.6837144948523011,1.9152261270304844,7.866997120922311,1.67505944559693,134,-0.5383490147973271,0.3437484665198896,train
sine,0.9948096533186193,3.331477897245314,3.331477897245314,1.399502930222881,135,,,validation
chirp,0.7469762104787614,1.94323190568355,4.420188165655858,-1.8433868633438133,136,,,validation
mixture,0.6606659260081305,3.5372828457448002,7.278909561839726,-0.44643964975459216,137,1.4395242543279814,0.572939942199245,test
sine,0.7664286241925107,4.478768404129648,4.478768404129648,0.8239935267479046,138,,,test
chirp,0.7547820705559052,2.4628126129749512,6.3163188503721015,1.4026741418836544,139,,,validation
mixture,0.7747756079962063,2.0795325480483413,6.580500238096906,0.2641886515306435,140,-0.6042606539898565,0.34599478393063626,train
sine,0.9671812370077701,5.314361182038474,5.314361182038474,3.0361397025836867,141,,,train
chirp,0.7230868732464724,1.7269810312970584,5.499929396503108,-0.8249543074379257,142,,,train
mixture,0.7921136369390779,1.953058208013669,5.422418200082141,1.493838062556173,143,1.946675203817362,0.5235852087234165,train
sine,0.5553939730519043,4.657430088418614,4.657430088418614,0.2780262343703743,144,,,test
chirp,0.9277306733341275,0.5840671375210695,5.6248319816436005,-1.6808427623148372,145,,,train
mixture,0.5146155911052619,1.5226258605774752,7.222248305372545,0.7944801800590442,146,1.5456096049123467,0.3711338927108321,test
sine,0.9938853004731025,6.060758700750583,6.060758700750583,-2.6415050284932637,147,,,validation
chirp,0.7281541928494903,1.7605964021960268,6.999938977745791,1.5754886761906821,148,,,train
mixture,0.9229466717869538,1.247993455959933,6.081844661086055,1.788374581199541,149,0.5285605478068862,0.6286155602473493,validation
sine,0.5199772217772496,3.73298698221989,3.73298698221989,-2.2690630395402276,150,,,train
chirp,0.6522952736995407,0.9755544844641377,7.414185997341327,1.3902724763618828,151,,,test
mixture,0.9131900873539711,1.7325024232181443,5.226511709858155,2.6747295445023145,152,-0.3236585577529949,0.5632361699746196,train
sine,0.6206672580247775,6.12698821621124,6.12698821621124,-1.8433529760731604,153,,,train
chirp,0.9812215888008242,1.8077195105876025,7.440103990893128,-1.335656133632742,154,,,train
mixture,0.804016673701387,1.8451667018670035,6.492817273330665,0.12298681043565773,155,0.6318125479778782,0.5634689964386259,train
sine,0.5526648612092726,2.1782327966805,2.1782327966805,-1.247614987012537,156,,,train
chirp,0.5920526102511174,1.5512330496540117,7.146276483732832,2.258930096392123,157,,,validation
mixture,0.6712548349863917,3.483627355649578,5.108129252754796,-2.638303960341542,158,-2.621738593437125,0.7465655525070269,train
sine,0.6637484075782065,6.835212861093354,6.835212861093354,-1.6291837851694422,159,,,train
chirp,0.8545714640264297,2.3633361782930313,7.159914667255883,-2.436410793841391,160,,,validation
mixture,0.914095182103752,2.505301116561469,4.893600730263789,1.227161136880543,161,1.557730317459617,0.6266635254167879,test
sine,0.7536074255365846,3.4196287430348575,3.4196287430348575,1.9911633490263636,162,,,validation
chirp,0.7702092267573812,0.5365220160348918,6.352629984381527,-1.9544107108285165,163,,,test
mixture,0.558764192045679,1.7621421323974689,5.991462778490099,-2.680387959633904,164,0.9414301394866325,0.37000911242449813,train
sine,0.866200153282033,2.420813636595569,2.420813636595569,-1.982595568170995,165,,,train
chirp,0.700941657982858,0.5314963609985384,5.747683149704158,-0.704959977135196,166,,,test
mixture,0.9559403387076857,2.793406385198547,7.3548168040021835,-0.8273576337109221,167,-2.1885332122204266,0.4620218467775343,train
sine,0.847034278710088,2.5100562385615186,2.5100562385615186,-0.2983961702098634,168,,,test
chirp,0.990859338307728,2.4333859569338596,4.121561741951341,-1.905770771061025,169,,,validation
mixture,0.9574824080086102,3.484229283241376,7.6197385071333805,-1.9655235554300259,170,2.5071627396161773,0.4804107335711024,train
sine,0.7136332656758133,1.8556240789343534,1.8556240789343534,2.672239093745171,171,,,train
chirp,0.9390602704477995,1.8971633462108448,4.881903737041426,-0.21702387770238296,172,,,train
mixture,0.8124099612966389,3.600550887974915,6.897768277110077,-0.336569163012014,173,0.5945851718327404,0.4321583835337907,validation
sine,0.9801938753711292,4.366343080232443,4.366343080232443,0.4293213788814132,174,,,train
chirp,0.8630954627288268,1.7056947653709722,5.890497135120987,-1.9342071354795716,175,,,validation
mixture,0.9181108730068509,1.1307535690688226,6.898932174518394,-0.5152897135882344,176,-1.2963124411607172,0.7344797041644029,validation
sine,0.5506966548599469,4.228040987169688,4.228040987169688,1.5168934442083284,177,,,test
chirp,0.6940565211626557,1.1964400723108601,6.80356981958518,3.1347010362301866,178,,,train
mixture,0.8563730246893824,1.1445188607887857,5.5505698263547245,-1.0461349875938541,179,0.8181042605031505,0.6360525246260387,train
sine,0.6923674577881272,2.6072965170846207,2.6072965170846207,2.958187444928199,180,,,test
chirp,0.6370259105269909,2.1240174546102253,4.011608180953308,0.6617802581369916,181,,,train
mixture,0.6871223700977563,2.9375997259844753,7.543927501342624,0.7332277111980807,182,-2.0521292676178753,0.42744789444640363,train
sine,0.7045743211176735,6.177118644298739,6.177118644298739,1.9431236961084846,183,,,train
chirp,0.8898861138874317,1.986429181234761,7.2735442435065085,-0.5203508037087285,184,,,train
mixture,0.8214374612240116,2.8224512971861544,7.711673956779092,1.0002789766668698,185,-0.01856052239010575,0.45683605704571634,train
sine,0.8448955547655261,4.20187104849037,4.20187104849037,-0.3539273708215429,186,,,validation
chirp,0.564791242335392,1.1487633723180208,6.892256798422348,-2.471544479145141,187,,,train
mixture,0.6630451392072119,1.2890088085773694,4.893995839663237,-2.867194914480234,188,-2.41382961677431,0.42049141706878645,train
sine,0.5200712859922094,6.665004123389928,6.665004123389928,-0.8420219374622482,189,,,train
chirp,0.9521599801248648,2.4074355975064883,4.865324727724305,-0.23777625925571844,190,,,test
mixture,0.6301128173330564,2.541270940717895,6.928798527980822,-2.3496821530735503,191,0.28447722255011554,0.7272690087573415,train
sine,0.9831748251332005,3.428716705256671,3.428716705256671,2.738642879157629,192,,,test
chirp,0.6626799750490404,1.970307288356731,4.12811183824286,2.7463123064947226,193,,,train
mixture,0.7738023775896474,3.132922852743869,5.543176246683772,-0.002146145025734736,194,-2.8183902238741205,0.4447148650389041,train
sine,0.9505120178498987,5.748949444781053,5.748949444781053,-0.31245843775948856,195,,,test
chirp,0.8942349772883361,2.4393675929450325,6.47969440904329,2.9703444727159987,196,,,train
mixture,0.685914576609397,1.501392382791933,7.028424465797508,-1.0472889414195947,197,1.2296575598471549,0.6761516558626681,test
sine,0.7092765010503952,4.615394415972843,4.615394415972843,0.3998730633066523,198,,,validation
chirp,0.9366208626413328,0.6395647485038669,4.749484997175887,-2.3112689560287807,199,,,train
mixture,0.6544843622747333,3.336064394597589,5.462340808888057,1.849258542593283,200,2.052530028908027,0.36322656198959935,test
sine,0.695836584963863,1.114139346970893,1.114139346970893,-0.04370679791459908,201,,,train
chirp,0.8329213893233097,1.9116059631849593,6.694276681960336,0.0038052773159997777,202,,,train
mixture,0.7026681879123877,3.291355195595915,6.468405840533386,-3.058304233785473,203,2.852384451573002,0.3687392047883825,train
sine,0.5285286358662905,2.848097876363134,2.848097876363134,2.029014264384318,204,,,train
chirp,0.5988070886167145,2.3656031280334107,7.303290254374163,-0.3181952704492499,205,,,train
mixture,0.5007682041017948,1.660397839073545,7.41618735310234,-1.9443889557997092,206,-0.5508960985145119,0.7001455006337979,train
sine,0.6497757733869927,2.5737685407824884,2.5737685407824884,2.620205750625664,207,,,train
chirp,0.8147056416930536,2.4687325076613726,6.6486227167477825,1.6815603010568063,208,,,train
mixture,0.9395363377783085,1.5323831355775848,5.03677984968973,1.8886406594097283,209,-2.313241806036465,0.39657036503283005,train
sine,0.6123803708294664,1.2038877492941418,1.2038877492941418,-2.2411522566632684,210,,,validation
chirp,0.8035090141389056,0.6479866284195186,4.823419920858906,1.2827776617756959,211,,,train
mixture,0.7546802433801116,3.5186750068635813,6.960812124525626,1.6227991323283,212,0.6012236724134001,0.5300394167834668,test
sine,0.8066964341592802,1.3712954554493706,1.3712954554493706,-2.628835492251019,213,,,train
chirp,0.9293132507752335,1.7077807952996398,7.3616078837945444,0.4665158889964025,214,,,train
mixture,0.8273025036865718,3.6026446954276876,4.673046430246515,1.1307156566898398,215,-2.7484127205850064,0.39844647486336365,train
sine,0.7163570465713005,4.721162272876561,4.721162272876561,-1.2249922874636259,216,,,validation
chirp,0.9822876330476111,1.7757378461211977,6.780763296305832,-0.7982366700458923,217,,,test
mixture,0.8101045499535215,2.796952872959773,5.636643551773157,-2.791763007601774,218,-2.010978162935772,0.6496222831284317,test
sine,0.9909563495807863,4.601084489232767,4.601084489232767,-0.36918038431550393,219,,,train
chirp,0.6558564611550813,1.487289780947404,6.651822557175573,-1.744590069150265,220,,,train
mixture,0.7055114972788831,1.5795969180626943,6.2675888313417465,1.2813127974817684,221,-0.014286081956979668,0.5410333298554513,validation
sine,0.7366313721452556,3.2259689758807344,3.2259689758807344,1.1177391039199804,222,,,train
chirp,0.6157988722979177,1.2904219384982887,5.396434168923862,1.9452420878896328,223,,,test
mixture,0.5471357859611923,3.015001039907882,7.367524542859316,-2.1868532671268235,224,0.7781904734192766,0.5299822428129928,validation
sine,0.9815453691573901,2.5779582739618503,2.5779582739618503,-0.44283237714067925,225,,,train
chirp,0.9623908295493601,1.9884983008254502,7.9704962182110375,-1.2648385516559604,226,,,train
mixture,0.5784768591379627,3.902125928774063,6.627275338502669,-1.6010449551903612,227,1.021087356255432,0.2613614800295577,validation
sine,0.9628572901646285,5.895615795133581,5.895615795133581,-0.12180096631309878,228,,,test
chirp,0.7767134200758838,1.6098887962830357,7.239690878777424,2.7665921867714705,229,,,validation
mixture,0.5912898201963398,2.2763091142265477,7.78161636650028,-2.7851178206720166,230,2.732165023304767,0.710068931608103,test
sine,0.7655212697296432,4.192728204489569,4.192728204489569,-0.03402524105714555,231,,,train
chirp,0.7116136379560478,1.6373091567660543,5.201528217653239,0.7722453917769716,232,,,train
mixture,0.5828405313170235,2.573635616256957,6.91570586703196,-1.9186866117687411,233,1.208952002151035,0.6730493163245116,train
sine,0.6722243150541694,4.90973639477704,4.90973639477704,0.22180034661780912,234,,,train
chirp,0.7675776009522304,0.9317560968672283,4.004973346069114,-1.9821172626259507,235,,,train
mixture,0.8676566992632653,2.857077326733732,4.835221380370582,2.1514757811699194,236,2.4014710668118884,0.5277247443863827,train
sine,0.5774611804933552,4.929692275648648,4.929692275648648,0.15061358194469943,237,,,validation
chirp,0.7474265661199505,0.9338598207684845,7.783156578082902,2.784456332657455,238,,,validation
mixture,0.9301429135618586,2.578113928380734,5.166354149570212,-0.45868441865384435,239,2.0947150857231644,0.2997859262506838,train
sine,0.9755977755793332,1.8180528908258002,1.8180528908258002,3.037788209790084,240,,,test
chirp,0.7823538288124434,1.1056587705378926,7.325757415756502,-3.091366097004,241,,,train
mixture,0.5293486247217989,2.097455184287814,4.821293011695858,-2.1690842561463466,242,2.6370485689626246,0.4505529221996888,train
sine,0.7816889023597151,3.293125726354571,3.293125726354571,-0.4450887487589923,243,,,validation
chirp,0.880938724579331,1.6791493196407585,5.761747441059606,2.6313207431654293,244,,,train
mixture,0.6090171275791421,3.1358771884580623,6.062850594857758,-1.1890800066668006,245,2.1045934422771717,0.566084127274735,train
sine,0.5296599225159673,1.2291643530940584,1.2291643530940584,1.1935836055641982,246,,,train
chirp,0.7753223475432229,2.077957226792494,7.753338672804148,-0.8837860986846064,247,,,validation
mixture,0.7206972697792899,3.8179278535610295,7.042022989857695,-0.2536871621269099,248,0.058798289164379014,0.3126761523742552,train
sine,0.869652262762921,5.972258079749672,5.972258079749672,-1.3944165373214463,249,,,validation
chirp,0.74985061182126,2.056921846831135,7.037284299364538,0.7021845830113707,250,,,train
mixture,0.913297414143296,3.284937102200817,4.797518633790841,-2.759547669088776,251,-2.7030856418930416,0.5070329860493175,train
sine,0.7209339376555628,6.188431316110075,6.188431316110075,-3.0677312396591523,252,,,test
chirp,0.6235011282679754,0.9416029903798446,4.992954477958197,-0.4184558420138438,253,,,train
mixture,0.6057732533514915,2.29053957844435,7.197427730183189,2.614210868869889,254,-1.1042971249542233,0.746152589371276,train
sine,0.5769365184693258,4.0920243657403415,4.0920243657403415,2.5454897904269673,255,,,validation
chirp,0.6606531296172831,0.9499177863998309,7.1345033456439735,-0.26859329628170814,256,,,train
mixture,0.5674017089048888,2.8615416730114474,7.7069408918744085,2.9414878529001705,257,2.0276271993441455,0.660510132099293,test
sine,0.6453877080701079,5.6502911033486845,5.6502911033486845,2.0342176252389343,258,,,train
chirp,0.7799959222439647,1.3898600748648597,4.450926572919059,0.49173663729701955,259,,,train
mixture,0.5707146600397802,1.9301270190907003,7.052262123954354,-0.1352175359147214,260,-0.17641273749944197,0.33999151445455594,test
sine,0.8593596451024909,4.367001129470809,4.367001129470809,-1.9843499307560961,261,,,test
chirp,0.931989108195439,1.8458585774080563,4.819299011335165,2.1271623070112975,262,,,validation
mixture,0.5882868515889328,3.7392111987300836,5.12211926299304,2.5871854278788327,263,-1.1103587307195562,0.5852990180359916,train
sine,0.5643414411853174,1.294597783760421,1.294597783760421,0.0030989018266369683,264,,,train
chirp,0.5306747614425751,1.8988247262849498,6.037640969379915,0.953888675618006,265,,,train
mixture,0.699515110973278,3.2226645087255905,7.180302729809635,2.101167564771309,266,1.7943395754748979,0.41802979429807213,train
sine,0.7797572497306122,5.381902340158643,5.381902340158643,-1.8496839362118058,267,,,test
chirp,0.5057348244059525,1.4927534547070587,7.313012482215818,-2.599834491208574,268,,,validation
mixture,0.5550155208449852,1.109615396557381,7.649157501562345,0.7802544075732039,269,-0.6963019869410214,0.4732675674685685,train
sine,0.6997423662534983,6.374328186136564,6.374328186136564,3.0533167292807706,270,,,test
chirp,0.8831903354814153,0.5706714215286328,5.9404420930339255,1.3601482270837266,271,,,test
mixture,0.8678080002325332,1.6207203677149722,7.810066363001231,-0.8075217515004391,272,-0.10846230149449188,0.4576029963524441,validation
sine,0.9005324438427487,1.5884401720484123,1.5884401720484123,2.4105875364965783,273,,,train
chirp,0.7013721735017975,0.754047366260298,7.289887414188939,-1.7685243414463443,274,,,train
mixture,0.7275859159234476,2.414582464405683,5.606363725010336,-2.5867474186268042,275,2.991226069400507,0.6533031602009272,train
sine,0.8407961625011995,6.455031890750616,6.455031890750616,1.057523361495833,276,,,train
chirp,0.7160274858021041,1.2877342264285574,5.48465397995736,-3.0774593675143582,277,,,validation
